label,text
ham,"লিজা, আজ মেঘলা আকাশ। বৃষ্টি হতে পারে।"
ham,শবে বরাতের শুভেচ্ছা। আল্লাহ কবুল করুন। বাই।
ham,বিকাশ/নগদ/উপায়/রকেট থেকে আজ রবিতে ৮৩৯৮রিচার্জে ১৮জিবি ও ৮৪৪৮রিচার্জে ২৮জিবি! মেয়াদ ৩০দিন
ham,shukhee নিশ্চিতকরণ কোড: 92776 (দয়া করে এই কোডটি অন্য কারো সাথে শেয়ার করবেন না)
spam,অনলাইনে কাজ করে দৈনিক 1000000 টাকা আয়। রেজিস্ট্রেশন ফি মাত্র 300 টাকা। 01585615135
spam,রবি থেকে ফ্রি 200000 টাকা রিচার্জ পাবেন। নিতে SMS করুন 77143
ham,চশমার পাওয়ার পরিবর্তন করতে হবে। চোখ ভালো দেখছে না। টাটা।
spam,ক্রিপ্টো কারেন্সি ট্রেডিং শিখুন। দৈনিক 25000 টাকা আয়। রেজিস্টার করুন: bit.ly/17994
ham,বিকাশে টাকা পাঠাও। আমার নাম্বার জানো তো? আল্লাহ হাফেজ।
ham,পরীক্ষার রুটিন কি বের হয়েছে? একটু পাঠাতে পারবে? - রাজু
ham,ট্রেন টিকেট কিনেছো? আমার একটা লাগবে। আল্লাহ হাফেজ।
ham,"করিম, বিদ্যুৎ চলে গেছে। জেনারেটর চালু করা দরকার।"
ham,আপনার সার্ভিস রিকোয়েস্ট নম্বর 72305। দয়া করে এটি শুধুমাত্র বিকাশ গ্রাহক সেবা এর বিকাশ কাস্টমার সার্ভিস এক্সিকিউটিভ অথবা livechat.bkash.com ছাড়া অন্য কারো সাথে শেয়ার করবেন না।
spam,ফ্রি ক্রেডিট কার্ড পান। 100000 টাকা লিমিট। আবেদন করুন: 01865156920
spam,গোল্ড ক্রেডিট কার্ড পাবেন ফ্রি। 5000 টাকা লিমিট। রেজিস্টার: bit.ly/51540
spam,হজ্জ ভিসা প্রসেসিং। নিশ্চিত ভিসা। খরচ 500000 টাকা। 01599068562
ham,বিদ্যুৎ চলে গেছে। কখন আসবে? - চম্পা
ham,"হাই, পার্কিং জায়গা পাচ্ছি না। কোথায় গাড়ি রাখবো?"
spam,সরকারি রিফান্ড পেতে তথ্য দিন। 10000 টাকা ফেরত। 01824653434
ham,লাইব্রেরি কয়টা পর্যন্ত খোলা? আমার পড়তে যেতে হবে। রাখি।
spam,"সহজ কাজ, দ্রুত পেমেন্ট। জয়েন করুন: bit.ly/64914"
ham,নাস্তা করেছো? না করলে করে নাও। - সোহেল
ham,"""জন্ম - মৃত্যু নিবন্ধন, আনবে দেশে সুশাসন"" রাখি।"
ham,shukhee নিশ্চিতকরণ কোড: 4942 (দয়া করে এই কোডটি অন্য কারো সাথে শেয়ার করবেন না)
spam,ডেলিভারি কনফার্মেশন প্রয়োজন। কনফার্ম করুন: bit.ly/34525
spam,আপনার লোন আবেদন অনুমোদিত। 5000 টাকা পাবেন: bit.ly/75325
spam,কপিরাইট সমস্যা ধরা পড়েছে। সমাধান করুন: bit.ly/41880
spam,একাউন্ট রিকভারি দরকার। রিকভার করুন: bit.ly/39758
spam,আপনার ক্রেডিট কার্ড অনুমোদিত হয়েছে। 10000 টাকা লিমিট। কার্ড নিতে: bit.ly/70770
spam,আপনার আমেক্স ক্রেডিট কার্ড দিয়ে 1-10 ডিসেম্বর 2025-এর মধ্যে নূনতম 25টি কেনাকাটা করে জিতুন 5000 বোনাস মেম্বারশিপ রিওয়ার্ডস পয়েন্টস! শর্ত প্রযোজ্য। বিস্তারিত: bit.ly/88827
spam,"প্রিয় গ্রাহক, আপনার নাম্বার র্যান্ডম ড্র তে নির্বাচিত। পুরস্কার 10000 টাকা। কল: 01857110516"
ham,"শিউলি, আপু, তোমার বই ধার নিতে পারি? আমার দরকার।"
ham,"রুবেল, ভাই, কালকের রিপোর্টটা কি জমা দিয়েছো? ডেডলাইন তো আজ।"
ham,"আজ ২৩ মে 2297, বিশ্ব মেটেলিজি দিবস। এবারের প্রতিপাদ্য- 'টেকসই ভবিষ্যৎ বিনির্মাণে আজকের পরিমাপ', থিএসচিআই, শিল্প মন্ত্রণালয়।"
spam,অভিনন্দন! আপনি বাংলালিংক এর বাইক জিতেছেন। দাবি করতে 01989669109 নম্বরে কল করুন।
spam,কোনো ইনকাম প্রুফ ছাড়াই ক্রেডিট কার্ড। আজই আবেদন: bit.ly/65836
spam,বাসা খালি আছে। 650 বর্গফুট। ভাড়া 1500 টাকা। দেখুন: bit.ly/32829
ham,আজ ট্রেন ধরতে হবে। স্টেশনে পৌঁছাতে কতক্ষণ লাগবে? - সোহেল
ham,বাজারে পেঁয়াজ কিনে আনতে হবে। আর কি লাগবে? - রানা
ham,ট্যাক্সি ধরতে হবে। একসাথে যাবো? পরে কথা হবে।
ham,"শুভ সকাল, তুমি কি জানো কাল থেকে ঠাণ্ডা পড়বে?"
ham,তোমার ফোন নাম্বার সেভ হয়নি। আবার দাও তো।
spam,আজ শেষ ডেলিভারি চেষ্টা। ঠিকানা দিন: 01712043529
spam,বিশ্বস্ত আয়ের প্ল্যাটফর্ম। শুরু করুন: bit.ly/36616
ham,"আপনার OTP হলো 96236। এটি ৩ মিনিট বৈধ থাকবে। কখনো OTP, PIN, CVV, Expiry Date এবং Password কারো সাথে শেয়ার করবেন না। TBL-Digital Banking."
spam,জমি কিনুন সস্তায়। গাজীপুর এ প্লট মাত্র 999 টাকা। বুকিং 50000 টাকা। 01642321181
spam,"<<ব্রেকিং নিউজ>> কারাগার থেকে সেনানিবাসের সার্জেল ১৫ সেনা কর্মকর্তা..প্রতিদিন ১,৩৯ টাকা. এই ধরনের সর্বশেষ খবরগুলো পেতে bit.ly/60464"
ham,বিজয় দিবসের শুভেচ্ছা। জয় বাংলা! আল্লাহ হাফেজ।
ham,"দোস্ত, তোর বাইক একটু ধার দিবি? জরুরি কাজ আছে। - তিশা"
spam,নগদ/রকেট একাউন্ট ভেরিফিকেশন জরুরি। 01975313030 নম্বরে কল করুন এখনই।
spam,ভর্তি পরীক্ষার যাতায়াতের বাস টিকেট কাটতে ক্লিক: bit.ly/45423 কল ১৬৪৬০
ham,আপনার JBPLC একাউন্ট *58147 এ মেডিকেল কলেজ থেকে 99889.00 টাকা জমা হয়েছে at 03 Jul 25 14:18:52 ব্যালেন্স 37417 টাকা। Enjoy Amar Sanchoy Amar Munafa
ham,"শুভ সন্ধ্যা, আজ উবার নেবো নাকি সিএনজিতে যাবো?"
ham,"বন্ধু, আমার জন্মদিনে আসবি কিন্তু। ভুলে যাবি না।"
ham,"আজই শেষ সুযোগ! জিতুন ১,32072 বোনাস মেম্বারশিপ রিওয়ার্ডস পয়েন্টস নূনতম ১০টি কেনাকাটা করে ১৫-২১ নভেম্বর 76764-এর মধ্যে আপনার আমেক্স ক্রেডিট কার্ড দিয়ে। শর্ত প্রযোজ্য। বিস্তারিত https://cbl.fyi/mr1"
spam,ডেলিভারি চার্জ বকেয়া। পরিশোধ করুন: bit.ly/14164
spam,ঠিকানা আপডেট না করলে পার্সেল ফেরত। আপডেট: bit.ly/10123
ham,"শিমুল, ক্লাস টিচার কি বলেছেন? জানাও তো।"
ham,"ওহে, বাজারে পেঁয়াজ কিনে আনতে হবে। আর কি লাগবে?"
ham,"আদাব, ফ্রিজে কি আছে? ভাত আছে?"
ham,"আদাব, আপু, তোমার বই ধার নিতে পারি? আমার দরকার।"
ham,ল্যাপটপ চার্জার নিয়ে আসবে? আমার দরকার। টাটা।
ham,"এই যে, স্কুল থেকে ফিরেছো? খাবার খেয়ে নাও।"
ham,ওষুধ খেয়েছো? সময়মতো খাবে কিন্তু। - পপি
ham,ব্যালেন্স 61125.14 টাকা Email notification পেতে - t.tblbd.com/email
ham,"শুভ সকাল, অনলাইনে অর্ডার দিয়েছি। কাল ডেলিভারি পাবো।"
spam,সার্ভে সম্পন্ন করে 10000 টাকা জিতুন। মাত্র 3 মিনিট। bit.ly/39128
ham,আজ ট্রেন ধরতে হবে। স্টেশনে পৌঁছাতে কতক্ষণ লাগবে?
spam,"সহজ কাজ, দ্রুত পেমেন্ট। জয়েন করুন: bit.ly/92967"
spam,টেলিটক থেকে ফ্রি 1000000 টাকা রিচার্জ পাবেন। নিতে SMS করুন 65052
spam,লোন রিলিজের জন্য তথ্য দিন: 01786011976
ham,কল: 54822
ham,"রাজু, আজকের লেকচার কেমন ছিল? বুঝতে পেরেছো?"
spam,আপনার মতামত দিন। পাবেন 200000 টাকা পুরস্কার। bit.ly/48746
ham,এই ঈদে দুর্দান্ত অফার! ২০% ছাড়! বাট্টা স্টোরে শপুয়াত ১৭ই মে
ham,"শিউলি, স্কুল থেকে ফিরেছো? খাবার খেয়ে নাও।"
spam,বিশেষ অফার! ক্যামেরা মাত্র 15000 টাকায়। ফ্রি হোম ডেলিভারি। অর্ডার: 01560647744
ham,"আপনার OTP হলো 54457। এটি ৩ মিনিট বৈধ থাকবে। কখনো OTP, PIN, CVV, Expiry Date এবং Password কারো সাথে শেয়ার করবেন না। TBL-Digital Banking."
spam,আইএফআইসি ব্যাংক alert: আপনার একাউন্ট সাসপেন্ড হতে পারে। ভেরিফাই করুন: bit.ly/91582
spam,পানির বিল 10000 টাকা বাকি। আজই দিন: bit.ly/16619
spam,দ্রুত ওজন কমান। ত্বক ফর্সা ব্যবহার করুন। গ্যারান্টি সহ। মূল্য 1500 টাকা। 01732405292
spam,সরকারি রিফান্ড পেতে তথ্য দিন। 5000000 টাকা ফেরত। 01765722015
ham,"সীমিত সময়ের জন্য সেরা অফার, মাত্র 27585-২জিবি-১দিন নিতে ডায়াল *87202*১৪#"
ham,"ভাই, কালকের রিপোর্টটা কি জমা দিয়েছো? ডেডলাইন তো আজ। রাখি।"
spam,আজই লোন অ্যাপ্রুভাল। 500000 টাকা পান: 01573088994
ham,"সালাম, ফিজিওথেরাপি সেশন কাল। সময় মতো যেতে হবে।"
spam,এবি ব্যাংক alert: আপনার একাউন্ট সাসপেন্ড হতে পারে। ভেরিফাই করুন: bit.ly/53195
ham,আপনার বিকাশ ভেরিফিকেশন কোড 78925। কোডটি ২ মিনিটে মেয়াদ শেষ হবে। দয়া করে আপনার OTP বা PIN অন্যদের সাথে শেয়ার করবেন না।
ham,"এই যে, আজ উবার নেবো নাকি সিএনজিতে যাবো?"
ham,"আপনি 88355 থেকে 72.00 টাকা পেয়েছেন। ফি 0.00 টাকা। ব্যালেন্স 11,78475.48 টাকা। TrxID A780451837 at 19/11/84911 12:00"
ham,কল: 86098
ham,আজকের ক্লাস বাতিল হয়েছে? বাসায় আছো? - তানিয়া
ham,"লিজা, বিল পেমেন্ট করে দাও। ডিউ ডেট আজ।"
spam,আপনার নাম বিজয়ী তালিকায়। ট্যাবলেট পাবেন! লিংক: bit.ly/19395
spam,ভেরিফিকেশন ব্যাজের আবেদন অনুমোদিত: bit.ly/32840
ham,"শিউলি, নিরাপদে বাড়ি ফিরুন, ঝামেলাহীন বাস টিকেট পেতে ক্লিক: bdtickets.com"
ham,"তানিয়া, বিকাশে টাকা পাঠাও। আমার নাম্বার জানো তো?"
ham,"বেলি, তোমার জুতা কোথা থেকে কিনেছিলে? দামটা কত ছিল?"
ham,"বিল সফলভাবে পরিশোধিত হয়েছে। Biller: WZPDCL MMYYYY/Contact: 25972 A/C: 36710 Amount: Tk 1,64498.00 Fee: Tk 0.00 TrxID: BKN7HQ5RTN at 23/11/20636"
spam,নগদ/রকেট একাউন্ট ভেরিফিকেশন জরুরি। 01756512386 নম্বরে কল করুন এখনই।
spam,মোবাইল রিচার্জ এর ব্যবসা শুরু করুন। বিনিয়োগ 20000 টাকা। লাভ 5%। 01912691627
spam,পরিচয় যাচাই প্রয়োজন। যাচাই করুন: bit.ly/41833
spam,গ্যাস বিল অপরিশোধিত। সংযোগ বিচ্ছিন্ন হবে। পেমেন্ট: 01858668182
ham,"আপনার আমেক্স ক্রেডিট কার্ড দিয়ে ২১ ডিসেম্বর 96754-এর মধ্যে নূনতম ১০টি কেনাকাটা করে জিতুন ১,68190 বোনাস মেম্বারশিপ রিওয়ার্ডস পয়েন্টস! শর্ত প্রযোজ্য। বিস্তারিত http://cbl.fyi/p4a"
ham,"বাবা, আমার পরীক্ষা ভালো হয়েছে। রেজাল্ট কাল দিবে।"
spam,অভিনন্দন! আপনি ইস্টার্ন ব্যাংক এর ডায়মন্ড রিং জিতেছেন। দাবি করতে 01841127534 নম্বরে কল করুন।
spam,আজই শেষ হচ্ছে যে বিশেষ অফার!* বিস্তারিত জানতে- bit.ly/99452 রকমারি।
spam,ফ্রি উপহার জিতেছেন আপনি। দাবি করুন: bit.ly/10233
ham,"সালাম, বৃষ্টি থেমেছে। এখন বের হওয়া যায়।"
spam,নিরাপত্তার কারণে আপনার একাউন্ট সাময়িকভাবে স্থগিত। ভেরিফাই করুন: 01886457653
ham,"ভাই, তোর বাইকটা কি আজকে নিতে পারি? আমার একটা কাজ আছে। রাখি।"
spam,কল ও ইন্টারনেট বন্ধ হওয়ার ঝুঁকি। ভেরিফাই করুন: bit.ly/63539
ham,বাস স্ট্যান্ডে পৌঁছেছি। তুমি কোথায়? - সোহেল
ham,অভিনন্দন! রেমিট্যান্স গ্রহণের জন্য আপনি 50 টাকার মোবাইল রিচার্জ কুপন পেয়েছেন। মেয়াদ: 27-11-17665
ham,বাসের প্রতি টিকেটে 74792 ছাড় কোড: 50TK0FF ক্লিক: bdtickets.com কল: 43051
ham,"আজ 63020-২৫GB+২০০মি-০০D *38154*৯৩#, 68114-৭GB-৭D *89243*৯৫# (১৩-১৫)Oct ১বার"
spam,আপনার বিকাশ একাউন্ট থেকে 5000 টাকা ডেবিট। বাতিল করতে 01937802462 এ কল দিন।
ham,আপনার অর্ডার ডেলিভারি হয়েছে। ধন্যবাদ। - পলাশ
ham,শরীর ভালো লাগছে না। ডাক্তার দেখাতে হবে। - রফিক
ham,"হ্যালো, পহেলা বৈশাখের শুভেচ্ছা! নববর্ষ মঙ্গলময় হোক।"
spam,আপনার জন্য পুরস্কার অপেক্ষা করছে। গ্রহণ করুন: bit.ly/41399
spam,CITY_AMEX থেকে পার্সোনাল লোন। সুদের হার মাত্র 15%। যোগাযোগ: 01891902901
spam,দ্রুত ওজন কমান। ত্বক ফর্সা ব্যবহার করুন। গ্যারান্টি সহ। মূল্য 25000 টাকা। 01836308471
ham,"মিতা, জেনারেটর চালু করে দাও। বিদ্যুৎ নেই।"
ham,শুধুমাত্র বিকাশ লাইভচ্যাট স্ক্রিনে সার্ভিস রিকোয়েস্ট নাম্বার 57000 লিখুন। কল বা SMS এর মাধ্যমে নাম্বারটি কারো সাথে শেয়ার করবেন না।
spam,জরুরি! JANATA BANK কার্ড ব্লক হবে। তথ্য আপডেট করুন 01803395649
spam,ফ্রি উপহার জিতেছেন আপনি। দাবি করুন: bit.ly/92126
spam,ফেসবুক ভেরিফিকেশন প্রয়োজন। ভেরিফাই করুন: bit.ly/27567
spam,ফ্রি রেজিস্ট্রেশন আজই। আয় শুরু করুন: bit.ly/89507
spam,একাউন্ট রিকভারি দরকার। রিকভার করুন: bit.ly/80172
ham,মোবাইল আপডেট করতে হবে। অনেক নোটিফিকেশন আসছে। - শফিক
ham,প্রিন্টার কাজ করছে না। কি সমস্যা? ভালো থেকো।
ham,"শুধু আজকের স্পেশাল! ১৫জিবি ১৩০টাকা ৭দিন। ডায়াল *94677*74882#, mygp.li/ck"
ham,"আপনি 29284 থেকে 72.00 টাকা পেয়েছেন। ফি 0.00 টাকা। ব্যালেন্স 11,69620.48 টাকা। TrxID A613169242 at 19/11/49291 12:00"
spam,ভর্তি পরীক্ষার যাতায়াতের বাস টিকেট কাটতে ক্লিক: bit.ly/87819 কল ১৬৪৬০
ham,"আজ ২৩ মে 1227, বিশ্ব মেটেলিজি দিবস। এবারের প্রতিপাদ্য- 'টেকসই ভবিষ্যৎ বিনির্মাণে আজকের পরিমাপ', থিএসচিআই, শিল্প মন্ত্রণালয়।"
spam,একাউন্ট ভেরিফিকেশন বাকি। সম্পূর্ণ করুন: bit.ly/57646
ham,"শুভ সকাল, ওষুধ খেয়েছো? সময়মতো খাবে কিন্তু।"
ham,কুরিয়ার এসেছে। পার্সেল নিয়ে নাও। - সাজু
spam,দুর্ঘটনা বীমা ফ্রি পাবেন। কভারেজ 500000 টাকা। রেজিস্টার: bit.ly/42439
ham,দুর্গা পূজার শুভেচ্ছা! সবার মঙ্গল হোক। ধন্যবাদ।
ham,আপনার NID দিয়ে কয়টি সিম রেজিস্ট্রার্ড দেখে নিতে https://mygp.li/SN - মিতা
ham,আপনার বিকাশ ভেরিফিকেশন কোড 42956। কোডটি ২ মিনিটে মেয়াদ শেষ হবে। দয়া করে আপনার OTP বা PIN অন্যদের সাথে শেয়ার করবেন না।
ham,14776 টাকা বোনাস জিতেছে আপনি ইনস্টল করুন:https://cutt.ly/3rWpZ6xJ
spam,আপনার বিকাশ একাউন্ট থেকে 500000 টাকা উত্তোলন হয়েছে। বন্ধ করতে 01733867061 এ কল করুন।
spam,আজই লোন অ্যাপ্রুভাল। 1000000 টাকা পান: 01784957504
ham,বিরিয়ানি খাবে? আমি অর্ডার দিচ্ছি। টাটা।
ham,"লিজা, বাংলাদেশ নৌবাহিনীতে অফিসার ক্যাডেট পদে নিয়োগ চলছে। ভিজিট করুন: http://joinnavy.navy.mil.bd"
spam,হোয়াটসঅ্যাপ নোটিস। দ্রুত পদক্ষেপ নিন: bit.ly/27418
